Organisation Code,Organisation Name,All Procedures - Total HES Procedures,All Procedures - Total Pre-Op Qs,All Procedures - Participation Rate,All Procedures - Total Linked,All Procedures - Linkage rate,All Procedures - Total Q2s sent to date,All Procedures - Issue rate,All Procedures - Total Q2s returned to date,All Procedures - Response rate,Hip Replacement - Total HES Procedures,Hip Replacement - Total Pre-Op Qs,Hip Replacement - Participation Rate,Hip Replacement - Total Linked,Hip Replacement - Linkage rate,Hip Replacement - Total Q2s sent to date,Hip Replacement - Issue rate,Hip Replacement - Total Q2s returned to date,Hip Replacement - Response rate,Primary Hip Replacement - Total HES Procedures,Primary Hip Replacement - Total Pre-Op Qs,Primary Hip Replacement - Participation Rate,Primary Hip Replacement - Total Linked,Primary Hip Replacement - Linkage rate,Primary Hip Replacement - Total Q2s sent to date,Primary Hip Replacement - Issue rate,Primary Hip Replacement - Total Q2s returned to date,Primary Hip Replacement - Response rate,Revision Hip Replacement - Total HES Procedures,Revision Hip Replacement - Total Pre-Op Qs,Revision Hip Replacement - Participation Rate,Revision Hip Replacement - Total Linked,Revision Hip Replacement - Linkage rate,Revision Hip Replacement - Total Q2s sent to date,Revision Hip Replacement - Issue rate,Revision Hip Replacement - Total Q2s returned to date,Revision Hip Replacement - Response rate,Knee Replacement - Total HES Procedures,Knee Replacement - Total Pre-Op Qs,Knee Replacement - Participation Rate,Knee Replacement - Total Linked,Knee Replacement - Linkage rate,Knee Replacement - Total Q2s sent to date,Knee Replacement - Issue rate,Knee Replacement - Total Q2s returned to date,Knee Replacement - Response rate,Primary Knee Replacement - Total HES Procedures,Primary Knee Replacement - Total Pre-Op Qs,Primary Knee Replacement - Participation Rate,Primary Knee Replacement - Total Linked,Primary Knee Replacement - Linkage rate,Primary Knee Replacement - Total Q2s sent to date,Primary Knee Replacement - Issue rate,Primary Knee Replacement - Total Q2s returned to date,Primary Knee Replacement - Response rate,Revision Knee Replacement - Total HES Procedures,Revision Knee Replacement - Total Pre-Op Qs,Revision Knee Replacement - Participation Rate,Revision Knee Replacement - Total Linked,Revision Knee Replacement - Linkage rate,Revision Knee Replacement - Total Q2s sent to date,Revision Knee Replacement - Issue rate,Revision Knee Replacement - Total Q2s returned to date,Revision Knee Replacement - Response rate
NVC13,OAKS HOSPITAL,34,472,13.8823529,30,0.0635593,228,0.4830508,142,0.622807,17,193,11.3529412,16,0.0829016,96,0.4974093,64,0.6666667,17,16,0.9411765,16,1,9,0.5625,7,0.7777778,0,0,0,0,0,0,0,0,0,17,279,16.4117647,14,0.0501792,132,0.4731183,78,0.5909091,17,14,0.8235294,14,1,6,0.4285714,3,0.5,0,0,0,0,0,0,0,0,0
NTX51,ONE HEALTH GROUP - BARLBOROUGH TREATMENT CENTRE,38,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,*,*,*,*,0,*,0,*,*,*,*,*,*,0,*,0,*,*,0,*,0,0,0,0,0,0
NTX12,ONE HEALTH GROUP CLINIC - CLAREMONT,44,83,1.8863636,23,0.2771084,44,0.5301205,32,0.7272727,20,38,1.9,10,0.2631579,24,0.6315789,18,0.75,20,10,0.5,10,1,5,0.5,3,0.6,0,0,0,0,0,0,0,0,0,24,45,1.875,13,0.2888889,20,0.4444444,14,0.7,24,13,0.5416667,13,1,5,0.3846154,3,0.6,0,0,0,0,0,0,0,0,0
NTX11,ONE HEALTH GROUP CLINIC - THORNBURY,185,174,0.9405405,83,0.4770115,102,0.5862069,66,0.6470588,73,76,1.0410959,37,0.4868421,44,0.5789474,32,0.7272727,73,37,0.5068493,37,1,24,0.6486486,16,0.6666667,0,0,0,0,0,0,0,0,0,112,98,0.875,46,0.4693878,58,0.5918367,34,0.5862069,*,46,0.4181818,*,1,30,0.6521739,19,0.6333333,*,0,*,0,0,0,0,0,0
AVQ,ONE HEALTHCARE,338,330,0.9763314,267,0.8090909,164,0.4969697,97,0.5914634,138,129,0.9347826,108,0.8372093,60,0.4651163,34,0.5666667,138,108,0.7826087,108,1,55,0.5092593,32,0.5818182,0,0,0,0,0,0,0,0,0,200,201,1.005,159,0.7910448,104,0.5174129,63,0.6057692,*,159,0.8030303,*,1,90,0.5660377,59,0.6555556,*,0,*,0,0,0,0,0,0
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,8,36,4.5,9,0.25,20,0.5555556,13,0.65,8,23,2.875,6,0.2608696,14,0.6086957,11,0.7857143,8,6,0.75,6,1,5,0.8333333,4,0.8,0,0,0,0,0,0,0,0,0,*,13,*,3,0.2307692,6,0.4615385,2,0.3333333,*,*,*,*,*,0,*,0,*,*,0,*,0,0,0,0,0,0
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1573,1684,1.0705658,1105,0.6561758,890,0.5285036,506,0.5685393,732,802,1.0956284,502,0.6259352,403,0.5024938,216,0.5359801,605,442,0.7305785,442,1,273,0.6176471,175,0.6410256,127,60,0.4724409,60,1,37,0.6166667,19,0.5135135,841,882,1.0487515,603,0.6836735,487,0.5521542,290,0.5954825,701,533,0.7603424,533,1,347,0.6510319,232,0.6685879,140,70,0.5,70,1,44,0.6285714,26,0.5909091
NVC14,PARK HILL HOSPITAL,165,645,3.9090909,493,0.7643411,319,0.4945736,205,0.6426332,80,269,3.3625,204,0.7583643,142,0.527881,95,0.6690141,80,*,*,*,*,*,*,84,*,0,*,*,*,*,*,*,0,*,85,376,4.4235294,289,0.768617,177,0.4707447,110,0.6214689,85,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*
NTPH5,PENINSULA NHS TREATMENT CENTRE,6,855,142.5,774,0.9052632,553,0.6467836,398,0.7197107,*,401,*,351,0.8753117,265,0.6608479,188,0.709434,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,*,*,6,454,75.6666667,423,0.9317181,288,0.6343612,210,0.7291667,6,412,68.6666667,412,1,263,0.6383495,194,0.7376426,0,11,0,11,1,5,0.4545455,4,0.8
RW6,PENNINE ACUTE HOSPITALS NHS TRUST,1162,776,0.6678141,519,0.6688144,536,0.6907216,218,0.4067164,460,318,0.6913043,199,0.6257862,206,0.6477987,81,0.3932039,407,186,0.4570025,186,1,135,0.7258065,67,0.4962963,53,13,0.245283,13,1,12,0.9230769,5,0.4166667,702,458,0.6524217,320,0.69869,330,0.720524,137,0.4151515,648,304,0.4691358,304,1,222,0.7302632,113,0.509009,54,16,0.2962963,16,1,13,0.8125,7,0.5384615
NVC15,PINEHILL HOSPITAL,356,312,0.8764045,291,0.9326923,155,0.4967949,131,0.8451613,190,174,0.9157895,165,0.9482759,91,0.5229885,72,0.7912088,181,157,0.8674033,157,1,85,0.5414013,67,0.7882353,9,8,0.8888889,8,1,5,0.625,4,0.8,166,138,0.8313253,126,0.9130435,64,0.4637681,59,0.921875,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RHU,PORTSMOUTH HOSPITALS NHS TRUST,1220,177,0.145082,111,0.6271186,103,0.5819209,73,0.7087379,579,67,0.1157168,43,0.641791,46,0.6865672,34,0.7391304,541,43,0.0794824,43,1,41,0.9534884,31,0.7560976,38,0,0,0,0,0,0,0,0,641,110,0.1716069,68,0.6181818,57,0.5181818,39,0.6842105,592,68,0.1148649,68,1,50,0.7352941,36,0.72,49,0,0,0,0,0,0,0,0
NVC16,RENACRES HOSPITAL,352,186,0.5284091,169,0.9086022,94,0.5053763,66,0.7021277,130,72,0.5538462,63,0.875,37,0.5138889,28,0.7567568,130,63,0.4846154,63,1,36,0.5714286,27,0.75,0,0,0,0,0,0,0,0,0,222,114,0.5135135,106,0.9298246,57,0.5,38,0.6666667,*,106,0.479638,*,1,55,0.5188679,37,0.6727273,*,0,*,0,0,0,0,0,0
NVC19,RIVERS HOSPITAL,441,293,0.6643991,285,0.9726962,176,0.6006826,142,0.8068182,182,130,0.7142857,127,0.9769231,75,0.5769231,61,0.8133333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,259,163,0.6293436,158,0.9693252,101,0.6196319,81,0.8019802,*,*,*,*,*,*,0.6242038,*,0.8163265,*,*,*,*,*,0,*,0,*
NVC17,ROWLEY HALL HOSPITAL,420,328,0.7809524,290,0.8841463,211,0.6432927,152,0.7203791,166,132,0.7951807,123,0.9318182,87,0.6590909,63,0.7241379,*,*,*,*,*,84,*,61,*,*,*,*,*,*,0,*,0,*,254,196,0.7716535,167,0.8520408,124,0.6326531,89,0.7177419,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,855,667,0.780117,271,0.4062969,70,0.1049475,70,1,421,331,0.7862233,129,0.3897281,37,0.1117825,37,1,382,120,0.3141361,120,1,27,0.225,27,1,39,9,0.2307692,9,1,2,0.2222222,2,1,434,336,0.7741935,142,0.422619,33,0.0982143,33,1,409,130,0.3178484,130,1,20,0.1538462,20,1,25,12,0.48,12,1,4,0.3333333,4,1
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,960,930,0.96875,524,0.5634409,538,0.5784946,307,0.570632,487,458,0.9404517,273,0.5960699,278,0.6069869,168,0.6043165,435,257,0.5908046,257,1,185,0.7198444,135,0.7297297,52,16,0.3076923,16,1,14,0.875,5,0.3571429,473,472,0.9978858,251,0.5317797,260,0.5508475,139,0.5346154,442,239,0.540724,239,1,163,0.6820084,108,0.6625767,31,12,0.3870968,12,1,7,0.5833333,6,0.8571429
RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,1264,1050,0.8306962,803,0.7647619,637,0.6066667,391,0.6138148,626,611,0.9760383,447,0.7315876,381,0.6235679,223,0.5853018,560,415,0.7410714,415,1,282,0.6795181,179,0.6347518,66,32,0.4848485,32,1,25,0.78125,18,0.72,638,439,0.6880878,356,0.8109339,256,0.5831435,168,0.65625,542,324,0.597786,324,1,197,0.6080247,139,0.7055838,96,32,0.3333333,32,1,21,0.65625,15,0.7142857
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,922,515,0.5585683,302,0.5864078,105,0.2038835,51,0.4857143,431,240,0.5568445,144,0.6,54,0.225,33,0.6111111,404,136,0.3366337,136,1,53,0.3897059,32,0.6037736,27,8,0.2962963,8,1,1,0.125,1,1,491,275,0.5600815,158,0.5745455,51,0.1854545,18,0.3529412,479,*,*,*,*,*,0.3121019,*,0.3673469,12,*,*,*,*,0,*,0,*
RQ6,ROYAL LIVERPOOL AND BROADGREEN UNIVERSITY HOSPITALS NHS TRUST,315,825,2.6190476,98,0.1187879,533,0.6460606,184,0.3452158,144,399,2.7708333,47,0.1177945,247,0.6190476,78,0.3157895,133,40,0.3007519,40,1,40,1,28,0.7,11,7,0.6363636,7,1,7,1,6,0.8571429,171,426,2.4912281,51,0.1197183,286,0.6713615,106,0.3706294,157,*,*,*,*,*,*,*,*,14,*,*,*,*,*,*,*,*
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,831,1221,1.4693141,611,0.5004095,367,0.3005733,82,0.2234332,337,561,1.6646884,277,0.4937611,170,0.3030303,40,0.2352941,202,164,0.8118812,164,1,68,0.4146341,21,0.3088235,135,113,0.837037,113,1,39,0.3451327,15,0.3846154,494,660,1.3360324,334,0.5060606,197,0.2984848,42,0.213198,353,250,0.7082153,250,1,90,0.36,24,0.2666667,141,84,0.5957447,84,1,36,0.4285714,15,0.4166667
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,637,587,0.9215071,386,0.6575809,321,0.5468484,199,0.6199377,340,301,0.8852941,225,0.7475083,183,0.6079734,124,0.6775956,329,217,0.6595745,217,1,152,0.7004608,109,0.7171053,11,8,0.7272727,8,1,5,0.625,3,0.6,297,286,0.962963,161,0.5629371,138,0.4825175,75,0.5434783,286,155,0.541958,155,1,94,0.6064516,61,0.6489362,11,6,0.5454545,6,1,5,0.8333333,2,0.4
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,667,747,1.11994,378,0.5060241,433,0.5796519,252,0.5819861,352,378,1.0738636,184,0.4867725,214,0.5661376,118,0.5514019,313,166,0.5303514,166,1,106,0.6385542,70,0.6603774,39,18,0.4615385,18,1,11,0.6111111,9,0.8181818,315,369,1.1714286,194,0.5257453,219,0.5934959,134,0.6118721,308,*,*,*,*,*,*,*,*,7,*,*,*,*,*,*,*,*
RM3,SALFORD ROYAL NHS FOUNDATION TRUST,495,179,0.3616162,77,0.4301676,122,0.6815642,59,0.4836066,249,86,0.3453815,38,0.4418605,57,0.6627907,26,0.4561404,234,*,*,*,*,24,*,14,*,15,*,*,*,*,0,*,0,*,246,93,0.3780488,39,0.4193548,65,0.6989247,33,0.5076923,223,*,*,*,*,*,*,*,*,23,*,*,*,*,*,*,*,*
RNZ,SALISBURY NHS FOUNDATION TRUST,537,401,0.7467412,294,0.7331671,240,0.5985037,144,0.6,274,181,0.6605839,140,0.7734807,103,0.5690608,66,0.6407767,257,134,0.5214008,134,1,83,0.619403,56,0.6746988,17,6,0.3529412,6,1,6,1,4,0.6666667,263,220,0.8365019,154,0.7,137,0.6227273,78,0.5693431,249,145,0.5823293,145,1,105,0.7241379,70,0.6666667,14,9,0.6428571,9,1,6,0.6666667,3,0.5
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,936,810,0.8653846,759,0.937037,470,0.5802469,279,0.593617,333,281,0.8438438,265,0.9430605,171,0.6085409,102,0.5964912,324,258,0.7962963,258,1,158,0.6124031,93,0.5886076,9,7,0.7777778,7,1,1,0.1428571,0,0,603,529,0.8772803,494,0.9338374,299,0.5652174,177,0.5919732,593,486,0.8195616,486,1,274,0.563786,166,0.6058394,10,8,0.8,8,1,4,0.5,2,0.5
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,2180,1055,0.483945,725,0.6872038,669,0.6341232,347,0.5186846,1033,498,0.482091,363,0.7289157,319,0.6405622,164,0.5141066,940,347,0.3691489,347,1,246,0.7089337,146,0.5934959,93,16,0.172043,16,1,12,0.75,4,0.3333333,1147,557,0.4856146,362,0.6499102,350,0.6283662,183,0.5228571,1056,338,0.3200758,338,1,246,0.7278107,150,0.6097561,91,24,0.2637363,24,1,18,0.75,10,0.5555556
NTPH1,SHEPTON MALLET NHS TREATMENT CENTRE,1244,966,0.7765273,827,0.8561077,462,0.4782609,301,0.6515152,696,561,0.8060345,491,0.8752228,273,0.486631,174,0.6373626,683,485,0.7101025,485,1,245,0.5051546,164,0.6693878,13,6,0.4615385,6,1,1,0.1666667,0,0,548,405,0.7390511,336,0.8296296,189,0.4666667,127,0.6719577,539,*,*,*,*,*,*,*,*,9,*,*,*,*,*,*,*,*
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,670,746,1.1134328,236,0.3163539,465,0.6233244,201,0.4322581,310,364,1.1741935,140,0.3846154,231,0.6346154,111,0.4805195,*,140,*,140,1,118,0.8428571,82,0.6949153,*,0,*,0,0,0,0,0,0,360,382,1.0611111,96,0.2513089,234,0.6125654,90,0.3846154,330,*,*,*,*,*,*,*,*,30,*,*,*,*,*,*,*,*
RXW,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,380,354,0.9315789,242,0.6836158,218,0.6158192,143,0.6559633,210,186,0.8857143,132,0.7096774,111,0.5967742,65,0.5855856,188,126,0.6702128,126,1,84,0.6666667,56,0.6666667,22,6,0.2727273,6,1,5,0.8333333,4,0.8,170,168,0.9882353,110,0.6547619,107,0.6369048,78,0.728972,157,*,*,*,*,*,*,*,*,13,*,*,*,*,*,*,*,*
NFH01,SOMERSET SURGICAL SERVICES,84,80,0.952381,52,0.65,44,0.55,25,0.5681818,42,40,0.952381,27,0.675,24,0.6,14,0.5833333,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,42,40,0.952381,25,0.625,20,0.5,11,0.55,*,*,*,*,*,*,0.7083333,*,0.6470588,*,*,*,*,*,0,*,0,*
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,1049,1374,1.3098189,770,0.5604076,774,0.5633188,427,0.5516796,512,671,1.3105469,395,0.5886736,386,0.5752608,207,0.5362694,469,368,0.7846482,368,1,229,0.6222826,148,0.6462882,43,27,0.627907,27,1,19,0.7037037,12,0.6315789,537,703,1.3091248,375,0.5334282,388,0.5519203,220,0.5670103,504,359,0.7123016,359,1,219,0.6100279,150,0.6849315,33,16,0.4848485,16,1,10,0.625,7,0.7
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,1030,811,0.7873786,418,0.5154131,348,0.4290999,188,0.5402299,428,346,0.8084112,177,0.5115607,140,0.4046243,79,0.5642857,395,160,0.4050633,160,1,86,0.5375,58,0.6744186,33,17,0.5151515,17,1,13,0.7647059,9,0.6923077,602,465,0.7724252,241,0.5182796,208,0.4473118,109,0.5240385,553,224,0.4050633,224,1,141,0.6294643,86,0.6099291,49,17,0.3469388,17,1,9,0.5294118,8,0.8888889
RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,0,19,0,0,0,19,1,14,0.7368421,0,12,0,0,0,12,1,9,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,1,5,0.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,1048,1108,1.0572519,871,0.7861011,667,0.6019856,420,0.6296852,468,472,1.008547,381,0.8072034,282,0.5974576,182,0.6453901,448,375,0.8370536,375,1,246,0.656,166,0.6747967,20,6,0.3,6,1,4,0.6666667,3,0.75,580,636,1.0965517,490,0.7704403,385,0.6053459,238,0.6181818,556,478,0.8597122,478,1,310,0.6485356,209,0.6741935,24,12,0.5,12,1,10,0.8333333,9,0.9
NTP11,SOUTHAMPTON NHS TREATMENT CENTRE,504,589,1.1686508,429,0.7283531,323,0.5483871,171,0.5294118,221,259,1.1719457,188,0.7258687,139,0.5366795,75,0.5395683,*,*,*,*,*,113,*,68,*,*,*,*,*,*,0,*,0,*,283,330,1.1660777,241,0.730303,184,0.5575758,96,0.5217391,272,234,0.8602941,234,1,152,0.6495726,86,0.5657895,11,7,0.6363636,7,1,4,0.5714286,2,0.5
RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,638,345,0.5407524,66,0.1913043,198,0.573913,113,0.5707071,284,148,0.5211268,28,0.1891892,95,0.6418919,57,0.6,263,*,*,*,*,*,*,14,*,21,*,*,*,*,*,*,0,*,354,197,0.5564972,38,0.1928934,103,0.5228426,56,0.5436893,330,*,*,*,*,*,*,*,*,24,*,*,*,*,*,*,*,*
RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,230,248,1.0782609,151,0.608871,141,0.5685484,71,0.5035461,114,121,1.0614035,80,0.661157,73,0.6033058,34,0.4657534,114,80,0.7017544,80,1,54,0.675,31,0.5740741,0,0,0,0,0,0,0,0,0,116,127,1.0948276,71,0.5590551,68,0.5354331,37,0.5441176,*,71,0.6173913,*,1,40,0.5633803,28,0.7,*,0,*,0,0,0,0,0,0
NN802,SPENCER PRIVATE HOSPITALS - ASHFORD,0,0,0,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,*,0,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NN801,SPENCER PRIVATE HOSPITALS - MARGATE,381,159,0.4173228,125,0.7861635,104,0.6540881,70,0.6730769,171,69,0.4035088,58,0.8405797,55,0.7971014,39,0.7090909,171,58,0.3391813,58,1,47,0.8103448,37,0.787234,0,0,0,0,0,0,0,0,0,210,90,0.4285714,67,0.7444444,49,0.5444444,31,0.6326531,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT312,SPIRE ALEXANDRA HOSPITAL,372,274,0.7365591,220,0.8029197,93,0.3394161,93,1,124,87,0.7016129,77,0.8850575,25,0.2873563,25,1,124,77,0.6209677,77,1,24,0.3116883,24,1,0,0,0,0,0,0,0,0,0,248,187,0.7540323,143,0.7647059,68,0.3636364,68,1,*,143,0.5836735,*,1,62,0.4335664,62,1,*,0,*,0,0,0,0,0,0
NT302,SPIRE BRISTOL HOSPITAL,564,327,0.5797872,265,0.8103976,168,0.5137615,168,1,246,155,0.6300813,126,0.8129032,80,0.516129,80,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,318,172,0.5408805,139,0.8081395,88,0.5116279,88,1,*,139,0.4384858,*,1,77,0.5539568,77,1,*,0,*,0,0,0,0,0,0
NT315,SPIRE BUSHEY HOSPITAL,165,96,0.5818182,79,0.8229167,38,0.3958333,38,1,65,37,0.5692308,32,0.8648649,17,0.4594595,17,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,100,59,0.59,47,0.7966102,21,0.3559322,21,1,100,47,0.47,47,1,19,0.4042553,19,1,0,0,0,0,0,0,0,0,0
NT317,SPIRE CAMBRIDGE LEA HOSPITAL,322,288,0.8944099,218,0.7569444,95,0.3298611,95,1,183,160,0.8743169,122,0.7625,49,0.30625,49,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,139,128,0.9208633,96,0.75,46,0.359375,46,1,*,96,0.6956522,*,1,41,0.4270833,41,1,*,0,*,0,0,0,0,0,0
NT324,SPIRE CHESHIRE HOSPITAL,337,313,0.9287834,249,0.7955272,95,0.3035144,95,1,143,145,1.013986,112,0.7724138,47,0.3241379,47,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,194,168,0.8659794,137,0.8154762,48,0.2857143,48,1,188,*,*,*,*,*,0.3208955,*,1,6,*,*,*,*,0,*,0,*
NT345,SPIRE CLARE PARK HOSPITAL,141,117,0.8297872,100,0.8547009,52,0.4444444,52,1,60,45,0.75,42,0.9333333,18,0.4,18,1,60,42,0.7,42,1,18,0.4285714,18,1,0,0,0,0,0,0,0,0,0,81,72,0.8888889,58,0.8055556,34,0.4722222,34,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
NT344,SPIRE DUNEDIN HOSPITAL,112,69,0.6160714,58,0.8405797,29,0.4202899,29,1,40,25,0.625,22,0.88,13,0.52,13,1,40,22,0.55,22,1,13,0.5909091,13,1,0,0,0,0,0,0,0,0,0,72,44,0.6111111,36,0.8181818,16,0.3636364,16,1,*,36,0.5070423,*,1,15,0.4166667,15,1,*,0,*,0,0,0,0,0,0
NT348,SPIRE ELLAND HOSPITAL,522,576,1.1034483,463,0.8038194,102,0.1770833,102,1,248,269,1.0846774,224,0.8327138,40,0.1486989,40,1,248,224,0.9032258,224,1,36,0.1607143,36,1,0,0,0,0,0,0,0,0,0,274,307,1.120438,239,0.7785016,62,0.2019544,62,1,*,*,*,*,*,*,0.2542373,*,1,*,*,*,*,*,0,*,0,*
NT347,SPIRE FYLDE COAST HOSPITAL,545,521,0.9559633,419,0.8042226,79,0.1516315,79,1,227,211,0.9295154,174,0.8246445,41,0.1943128,41,1,227,174,0.7665198,174,1,37,0.2126437,37,1,0,0,0,0,0,0,0,0,0,318,310,0.9748428,245,0.7903226,38,0.1225806,38,1,*,*,*,*,*,*,0.1516393,*,1,*,*,*,*,*,0,*,0,*
NT308,SPIRE GATWICK PARK HOSPITAL,65,159,2.4461538,38,0.2389937,55,0.3459119,55,1,42,86,2.047619,26,0.3023256,29,0.3372093,29,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,23,73,3.173913,12,0.1643836,26,0.3561644,26,1,*,*,*,*,*,*,0.1818182,*,1,*,*,*,*,*,0,*,0,*
NT316,SPIRE HARPENDEN HOSPITAL,289,279,0.9653979,237,0.8494624,83,0.297491,83,1,135,132,0.9777778,112,0.8484848,45,0.3409091,45,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,154,147,0.9545455,125,0.8503401,38,0.2585034,38,1,*,125,0.8223684,*,1,38,0.304,38,1,*,0,*,0,0,0,0,0,0
NT319,SPIRE HARTSWOOD HOSPITAL,220,200,0.9090909,124,0.62,60,0.3,60,1,118,96,0.8135593,68,0.7083333,32,0.3333333,32,1,*,68,*,68,1,28,0.4117647,28,1,*,0,*,0,0,0,0,0,0,102,104,1.0196078,56,0.5384615,28,0.2692308,28,1,102,56,0.5490196,56,1,22,0.3928571,22,1,0,0,0,0,0,0,0,0,0
NT351,SPIRE HULL AND EAST RIDING HOSPITAL,706,650,0.9206799,541,0.8323077,150,0.2307692,150,1,326,302,0.9263804,255,0.8443709,77,0.2549669,77,1,*,*,*,*,*,72,*,72,*,*,*,*,*,*,0,*,0,*,380,348,0.9157895,286,0.8218391,73,0.2097701,73,1,*,286,0.7546174,*,1,70,0.2447552,70,1,*,0,*,0,0,0,0,0,0
NT332,SPIRE LEEDS HOSPITAL,491,284,0.5784114,232,0.8169014,114,0.4014085,114,1,196,115,0.5867347,92,0.8,56,0.4869565,56,1,196,92,0.4693878,92,1,50,0.5434783,50,1,0,0,0,0,0,0,0,0,0,295,169,0.5728814,140,0.8284024,58,0.3431953,58,1,*,*,*,*,*,*,0.3884892,*,1,*,*,*,*,*,0,*,0,*
NT322,SPIRE LEICESTER HOSPITAL,591,517,0.8747885,433,0.8375242,174,0.3365571,174,1,238,207,0.8697479,176,0.8502415,85,0.410628,85,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,353,310,0.878187,257,0.8290323,89,0.2870968,89,1,*,*,*,*,*,*,0.3320313,*,1,*,*,*,*,*,0,*,0,*
NT321,SPIRE LITTLE ASTON HOSPITAL,608,484,0.7960526,435,0.8987603,130,0.268595,130,1,237,192,0.8101266,177,0.921875,54,0.28125,54,1,*,177,*,177,1,52,0.2937853,52,1,*,0,*,0,0,0,0,0,0,371,292,0.787062,258,0.8835616,76,0.260274,76,1,363,258,0.7107438,258,1,74,0.2868217,74,1,8,0,0,0,0,0,0,0,0
NT337,SPIRE LIVERPOOL HOSPITAL,472,245,0.5190678,214,0.8734694,74,0.3020408,74,1,180,99,0.55,86,0.8686869,30,0.3030303,30,1,180,86,0.4777778,86,1,30,0.3488372,30,1,0,0,0,0,0,0,0,0,0,292,146,0.5,128,0.8767123,44,0.3013699,44,1,292,128,0.4383562,128,1,42,0.328125,42,1,0,0,0,0,0,0,0,0,0
NT314,SPIRE LONDON EAST,121,95,0.785124,77,0.8105263,27,0.2842105,27,1,48,37,0.7708333,34,0.9189189,11,0.2972973,11,1,48,34,0.7083333,34,1,11,0.3235294,11,1,0,0,0,0,0,0,0,0,0,73,58,0.7945205,43,0.7413793,16,0.2758621,16,1,73,43,0.5890411,43,1,15,0.3488372,15,1,0,0,0,0,0,0,0,0,0
NT327,SPIRE MANCHESTER HOSPITAL,183,217,1.1857923,130,0.5990783,73,0.3364055,73,1,87,97,1.1149425,59,0.6082474,33,0.3402062,33,1,87,59,0.6781609,59,1,19,0.3220339,19,1,0,0,0,0,0,0,0,0,0,96,120,1.25,71,0.5916667,40,0.3333333,40,1,96,71,0.7395833,71,1,22,0.3098592,22,1,0,0,0,0,0,0,0,0,0
